id,season,week,seasonType,startDate,startTime,startTimeTBD,completed,team,opponent,location,teamPoints,opponentPoints,result,MOV,conferenceGame,attendance,venue,teamConference,opponentConference,teamClassification,opponentClassification,teamPregameRating,opponentPregameRating,teamPostgameRating,opponentPostgameRating,teamRank,opponentRank,notes,winProb,predictedPoints,predictedOpponentPoints,predTotal,predSpread,potentialPlayoffPoints,actualPlayoffPoints
401756846,2025,1,regular,2025-08-23,12:00 PM,False,True,Kansas State,Iowa State,Neutral,21.0,24.0,Loss,-3.0,True,,Aviva Stadium,Big 12,Big 12,fbs,fbs,15.9,10.6,14.1,12.4,17.0,22.0,Aer Lingus College Football Classic,0.6367,30.17,25.01,55.18,5.16,12.5924,0.0
401760371,2025,1,regular,2025-08-23,04:00 PM,False,True,UNLV,Idaho State,Home,38.0,31.0,Win,7.0,False,,Allegiant Stadium,Mountain West,Big Sky,fbs,fcs,-1.5,-30.0,-5.9,-30.0,,,,0.9643,42.54,12.48,55.02,30.06,3.8376,4.4142
401756847,2025,1,regular,2025-08-23,06:30 PM,False,True,Kansas,Fresno State,Home,31.0,7.0,Win,24.0,False,,Memorial Stadium,Big 12,Mountain West,fbs,fbs,8.1,-5.8,9.7,-7.4,,,,0.8545,35.685,19.805,55.49,15.88,8.8121,10.7891
401757218,2025,1,regular,2025-08-23,07:00 PM,False,True,Western Kentucky,Sam Houston,Home,41.0,24.0,Win,17.0,True,,Houchens Industries-L.T. Smith Stadium,Conference USA,Conference USA,fbs,fbs,-9.8,-14.1,-7.7,-16.3,,,,0.6807,30.625,23.725,54.35,6.9,7.1059,8.5064
401754516,2025,1,regular,2025-08-23,07:30 PM,False,True,Hawai'i,Stanford,Home,23.0,20.0,Win,3.0,False,,Clarence T.C. Ching Athletics Complex,Mountain West,ACC,fbs,fbs,-9.8,-5.9,-8.9,-6.8,,,,0.4714,27.055,28.035,55.09,-0.98,8.7915,9.0386
401762522,2025,1,regular,2025-08-28,05:30 PM,False,True,South Florida,Boise State,Home,34.0,7.0,Win,27.0,False,,Raymond James Stadium,American Athletic,Mountain West,fbs,fbs,-3.5,10.1,4.7,2.0,,25.0,,0.2422,22.495,32.895,55.39,-10.4,12.0804,14.3047
401752794,2025,1,regular,2025-08-28,06:00 PM,False,True,Rutgers,Ohio,Home,34.0,31.0,Win,3.0,False,,SHI Stadium,Big Ten,Mid-American,fbs,fbs,7.0,-4.8,4.5,-2.3,,,,0.8247,34.675,20.795,55.47,13.88,9.0176,9.2648
401762790,2025,1,regular,2025-08-28,06:00 PM,False,True,Bowling Green,Lafayette,Home,26.0,7.0,Win,19.0,False,,Doyt L. Perry Stadium,Mid-American,Patriot,fbs,fcs,-14.1,-30.0,-13.2,-30.0,,,,0.8767,36.43,18.31,54.74,18.12,3.8376,5.4027
401757219,2025,1,regular,2025-08-28,07:00 PM,False,True,Delaware,Delaware State,Home,35.0,17.0,Win,18.0,False,,Delaware Stadium,Conference USA,MEAC,fbs,fcs,-15.3,-30.0,-14.4,-30.0,,,,0.8623,35.85,18.86,54.71,16.99,3.8376,5.3204
401761588,2025,1,regular,2025-08-28,07:00 PM,False,True,UL Monroe,St. Francis (PA),Home,29.0,0.0,Win,29.0,False,,Malone Stadium,Sun Belt,NEC,fbs,fcs,-13.9,-30.0,-10.9,-30.0,,,,0.879,36.53,18.22,54.75,18.31,3.8376,6.2265
401754373,2025,1,regular,2025-08-28,07:00 PM,False,True,NC State,East Carolina,Home,24.0,17.0,Win,7.0,False,,Carter-Finley Stadium,ACC,American Athletic,fbs,fbs,3.7,-7.6,2.2,-6.1,,,,0.8171,34.405,20.965,55.37,13.44,8.4421,9.0187
401762789,2025,1,regular,2025-08-28,07:00 PM,False,True,Akron,Wyoming,Home,0.0,10.0,Loss,-10.0,False,,InfoCision Stadium,Mid-American,Mountain West,fbs,fbs,-20.8,-11.1,-21.4,-10.5,,,,0.3247,24.19,30.6,54.79,-6.41,7.7226,0.0
401756848,2025,1,regular,2025-08-28,07:00 PM,False,True,UCF,Jacksonville State,Home,17.0,10.0,Win,7.0,False,,FBC Mortgage Stadium,Big 12,Conference USA,fbs,fbs,1.4,-13.0,-0.7,-10.8,,,,0.8613,35.86,19.4,55.26,16.46,7.332,7.9087
401756876,2025,1,regular,2025-08-28,07:30 PM,False,True,Oklahoma State,UT Martin,Home,27.0,7.0,Win,20.0,False,,Boone Pickens Stadium,Big 12,Big South-OVC,fbs,fcs,2.0,-30.0,-0.4,-30.0,,,,0.9751,44.24,10.86,55.1,33.38,3.8376,5.4851
401752674,2025,1,regular,2025-08-28,07:30 PM,False,True,Missouri,Central Arkansas,Home,61.0,6.0,Win,55.0,False,,Memorial Stadium,SEC,UAC,fbs,fcs,12.0,-30.0,15.0,-30.0,,,,0.9912,49.09,6.23,55.32,42.86,3.8376,8.3684
401754517,2025,1,regular,2025-08-28,07:30 PM,False,True,Duke,Elon,Home,45.0,17.0,Win,28.0,False,,Wallace Wade Stadium,ACC,CAA,fbs,fcs,5.4,-30.0,4.0,-30.0,,,,0.9825,45.89,9.29,55.18,36.6,3.8376,6.1442
401756852,2025,1,regular,2025-08-28,08:00 PM,False,True,Houston,Stephen F. Austin,Home,27.0,0.0,Win,27.0,False,,TDECU Stadium,Big 12,Southland,fbs,fcs,4.1,-30.0,2.7,-30.0,,,,0.98,45.26,9.89,55.15,35.37,3.8376,6.0618
401752793,2025,1,regular,2025-08-28,08:00 PM,False,True,Minnesota,Buffalo,Home,23.0,10.0,Win,13.0,False,,Huntington Bank Stadium,Big Ten,Mid-American,fbs,fbs,10.0,-8.3,8.3,-6.6,,,,0.9034,37.795,17.705,55.5,20.09,8.2982,9.3691
401762430,2025,1,regular,2025-08-28,08:30 PM,False,True,UAB,Alabama State,Home,52.0,42.0,Win,10.0,False,,Protective Stadium,American Athletic,SWAC,fbs,fcs,-15.4,-30.0,-16.2,-30.0,,,,0.861,35.8,18.91,54.71,16.89,3.8376,4.6613
401762791,2025,1,regular,2025-08-28,09:00 PM,False,True,Wisconsin,Miami (OH),Home,17.0,0.0,Win,17.0,False,,Camp Randall Stadium,Big Ten,Mid-American,fbs,fbs,8.1,-9.4,7.4,-8.7,,,,0.8959,37.4,18.05,55.45,19.35,8.0721,9.4725
