cfb_name,teamrankings_name,Logo,Color1,Color2
Abilene Christian,Abl Christian,https://a.espncdn.com//i/teamlogos/ncaa/500/2000.png,#4F2170,#FFFFFF
Air Force,Air Force,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,#00308f,#a6a6a8
Akron,Akron,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,#002147,#918b4c
Alabama,Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,#9e1b32,#FFFFFF
Alabama A&M,Alabama A&M,#N/A,#N/A,#N/A
Alabama State,Alabama St,#N/A,#N/A,#N/A
Alcorn State,Alcorn St,#N/A,#N/A,#N/A
American University,American,#N/A,#N/A,#N/A
App State,App State,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,#222222,#ffcc00
Arizona,Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,#AB0520,#0C234B
Arizona State,Arizona St,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,#990033,#FFB310
Arkansas,Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,#9D2235,#FFFFFF
Arkansas State,Arkansas St,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,#cc092f,#000000
Arkansas-Pine Bluff,AR-Pine Bluff,#N/A,#N/A,#N/A
Army,Army,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,#000000,#d3bc8d
Auburn,Auburn,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,#0C2340,#F26522
Austin Peay,Austin Peay,#N/A,#N/A,#N/A
Ball State,Ball St,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,#BA0C2F,#FFFFFF
Baylor,Baylor,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,#003015,#fecb00
Bellarmine,Bellarmine,,,
Belmont,Belmont,#N/A,#N/A,#N/A
Bethune-Cookman,Bethune,#N/A,#N/A,#N/A
Binghamton,Binghamton,#N/A,#N/A,#N/A
