season,week,seasonType,poll,team,rank,poll_priority
2010,1,postseason,AP Top 25,Alabama,10,2.0
2010,1,postseason,AP Top 25,Arkansas,12,2.0
2010,1,postseason,AP Top 25,Auburn,1,2.0
2010,1,postseason,AP Top 25,Boise State,9,2.0
2010,1,postseason,AP Top 25,Florida State,17,2.0
2010,1,postseason,AP Top 25,LSU,8,2.0
2010,1,postseason,AP Top 25,Maryland,23,2.0
2010,1,postseason,AP Top 25,Michigan State,14,2.0
2010,1,postseason,AP Top 25,Mississippi State,15,2.0
2010,1,postseason,AP Top 25,Missouri,18,2.0
2010,1,postseason,AP Top 25,NC State,25,2.0
2010,1,postseason,AP Top 25,Nebraska,20,2.0
2010,1,postseason,AP Top 25,Nevada,11,2.0
2010,1,postseason,AP Top 25,Ohio State,5,2.0
2010,1,postseason,AP Top 25,Oklahoma,6,2.0
2010,1,postseason,AP Top 25,Oklahoma State,13,2.0
2010,1,postseason,AP Top 25,Oregon,3,2.0
2010,1,postseason,AP Top 25,South Carolina,22,2.0
2010,1,postseason,AP Top 25,Stanford,4,2.0
2010,1,postseason,AP Top 25,TCU,2,2.0
2010,1,postseason,AP Top 25,Texas A&M,19,2.0
2010,1,postseason,AP Top 25,Tulsa,24,2.0
2010,1,postseason,AP Top 25,UCF,21,2.0
2010,1,postseason,AP Top 25,Virginia Tech,16,2.0
2010,1,postseason,AP Top 25,Wisconsin,7,2.0
2010,1,regular,AP Top 25,Alabama,1,2.0
2010,1,regular,AP Top 25,Arkansas,17,2.0
2010,1,regular,AP Top 25,Auburn,22,2.0
2010,1,regular,AP Top 25,Boise State,3,2.0
2010,1,regular,AP Top 25,Florida,4,2.0
2010,1,regular,AP Top 25,Florida State,20,2.0
2010,1,regular,AP Top 25,Georgia,23,2.0
2010,1,regular,AP Top 25,Georgia Tech,16,2.0
2010,1,regular,AP Top 25,Iowa,9,2.0
2010,1,regular,AP Top 25,LSU,21,2.0
2010,1,regular,AP Top 25,Miami,13,2.0
2010,1,regular,AP Top 25,Nebraska,8,2.0
2010,1,regular,AP Top 25,North Carolina,18,2.0
2010,1,regular,AP Top 25,Ohio State,2,2.0
2010,1,regular,AP Top 25,Oklahoma,7,2.0
2010,1,regular,AP Top 25,Oregon,11,2.0
2010,1,regular,AP Top 25,Oregon State,24,2.0
2010,1,regular,AP Top 25,Penn State,19,2.0
2010,1,regular,AP Top 25,Pittsburgh,15,2.0
2010,1,regular,AP Top 25,TCU,6,2.0
2010,1,regular,AP Top 25,Texas,5,2.0
2010,1,regular,AP Top 25,USC,14,2.0
2010,1,regular,AP Top 25,Virginia Tech,10,2.0
2010,1,regular,AP Top 25,West Virginia,25,2.0
2010,1,regular,AP Top 25,Wisconsin,12,2.0
2010,2,regular,AP Top 25,Alabama,1,2.0
2010,2,regular,AP Top 25,Arkansas,14,2.0
2010,2,regular,AP Top 25,Auburn,21,2.0
2010,2,regular,AP Top 25,Boise State,3,2.0
2010,2,regular,AP Top 25,Florida,8,2.0
2010,2,regular,AP Top 25,Florida State,17,2.0
2010,2,regular,AP Top 25,Georgia,22,2.0
2010,2,regular,AP Top 25,Georgia Tech,15,2.0
2010,2,regular,AP Top 25,Iowa,9,2.0
2010,2,regular,AP Top 25,LSU,19,2.0
2010,2,regular,AP Top 25,Miami,12,2.0
2010,2,regular,AP Top 25,Nebraska,6,2.0
2010,2,regular,AP Top 25,Ohio State,2,2.0
2010,2,regular,AP Top 25,Oklahoma,10,2.0
2010,2,regular,AP Top 25,Oregon,7,2.0
2010,2,regular,AP Top 25,Penn State,18,2.0
2010,2,regular,AP Top 25,South Carolina,24,2.0
2010,2,regular,AP Top 25,Stanford,25,2.0
2010,2,regular,AP Top 25,TCU,4,2.0
2010,2,regular,AP Top 25,Texas,5,2.0
2010,2,regular,AP Top 25,USC,16,2.0
2010,2,regular,AP Top 25,Utah,20,2.0
2010,2,regular,AP Top 25,Virginia Tech,13,2.0
2010,2,regular,AP Top 25,West Virginia,23,2.0
2010,2,regular,AP Top 25,Wisconsin,11,2.0
2010,3,regular,AP Top 25,Alabama,1,2.0
2010,3,regular,AP Top 25,Arizona,24,2.0
2010,3,regular,AP Top 25,Arkansas,12,2.0
2010,3,regular,AP Top 25,Auburn,16,2.0
2010,3,regular,AP Top 25,Boise State,3,2.0
2010,3,regular,AP Top 25,Florida,10,2.0
2010,3,regular,AP Top 25,Houston,23,2.0
2010,3,regular,AP Top 25,Iowa,9,2.0
2010,3,regular,AP Top 25,LSU,15,2.0
2010,3,regular,AP Top 25,Miami,17,2.0
2010,3,regular,AP Top 25,Michigan,20,2.0
2010,3,regular,AP Top 25,Nebraska,8,2.0
2010,3,regular,AP Top 25,Ohio State,2,2.0
2010,3,regular,AP Top 25,Oklahoma,7,2.0
2010,3,regular,AP Top 25,Oregon,5,2.0
2010,3,regular,AP Top 25,Oregon State,25,2.0
2010,3,regular,AP Top 25,Penn State,22,2.0
2010,3,regular,AP Top 25,South Carolina,13,2.0
2010,3,regular,AP Top 25,Stanford,19,2.0
2010,3,regular,AP Top 25,TCU,4,2.0
2010,3,regular,AP Top 25,Texas,6,2.0
2010,3,regular,AP Top 25,USC,18,2.0
2010,3,regular,AP Top 25,Utah,14,2.0
2010,3,regular,AP Top 25,West Virginia,21,2.0
2010,3,regular,AP Top 25,Wisconsin,11,2.0
2010,4,regular,AP Top 25,Alabama,1,2.0
2010,4,regular,AP Top 25,Arizona,14,2.0
2010,4,regular,AP Top 25,Arkansas,10,2.0
2010,4,regular,AP Top 25,Auburn,17,2.0
2010,4,regular,AP Top 25,Boise State,3,2.0
2010,4,regular,AP Top 25,Florida,9,2.0
2010,4,regular,AP Top 25,Iowa,18,2.0
2010,4,regular,AP Top 25,LSU,15,2.0
2010,4,regular,AP Top 25,Miami,19,2.0
2010,4,regular,AP Top 25,Michigan,21,2.0
2010,4,regular,AP Top 25,Michigan State,25,2.0
2010,4,regular,AP Top 25,Nebraska,6,2.0
2010,4,regular,AP Top 25,Ohio State,2,2.0
2010,4,regular,AP Top 25,Oklahoma,8,2.0
2010,4,regular,AP Top 25,Oregon,5,2.0
2010,4,regular,AP Top 25,Oregon State,24,2.0
2010,4,regular,AP Top 25,Penn State,23,2.0
2010,4,regular,AP Top 25,South Carolina,12,2.0
2010,4,regular,AP Top 25,Stanford,16,2.0
2010,4,regular,AP Top 25,TCU,4,2.0
2010,4,regular,AP Top 25,Texas,7,2.0
2010,4,regular,AP Top 25,USC,20,2.0
2010,4,regular,AP Top 25,Utah,13,2.0
2010,4,regular,AP Top 25,West Virginia,22,2.0
2010,4,regular,AP Top 25,Wisconsin,11,2.0
2010,5,regular,AP Top 25,Alabama,1,2.0
2010,5,regular,AP Top 25,Arizona,14,2.0
2010,5,regular,AP Top 25,Arkansas,15,2.0
2010,5,regular,AP Top 25,Auburn,10,2.0
2010,5,regular,AP Top 25,Boise State,3,2.0
2010,5,regular,AP Top 25,Florida,7,2.0
2010,5,regular,AP Top 25,Iowa,17,2.0
2010,5,regular,AP Top 25,LSU,12,2.0
2010,5,regular,AP Top 25,Miami,16,2.0
2010,5,regular,AP Top 25,Michigan,19,2.0
2010,5,regular,AP Top 25,Michigan State,24,2.0
2010,5,regular,AP Top 25,NC State,23,2.0
2010,5,regular,AP Top 25,Nebraska,6,2.0
2010,5,regular,AP Top 25,Nevada,25,2.0
2010,5,regular,AP Top 25,Ohio State,2,2.0
2010,5,regular,AP Top 25,Oklahoma,8,2.0
2010,5,regular,AP Top 25,Oregon,4,2.0
2010,5,regular,AP Top 25,Penn State,22,2.0
2010,5,regular,AP Top 25,South Carolina,20,2.0
2010,5,regular,AP Top 25,Stanford,9,2.0
2010,5,regular,AP Top 25,TCU,5,2.0
2010,5,regular,AP Top 25,Texas,21,2.0
2010,5,regular,AP Top 25,USC,18,2.0
2010,5,regular,AP Top 25,Utah,13,2.0
2010,5,regular,AP Top 25,Wisconsin,11,2.0
2010,6,regular,AP Top 25,Air Force,25,2.0
2010,6,regular,AP Top 25,Alabama,1,2.0
2010,6,regular,AP Top 25,Arizona,9,2.0
2010,6,regular,AP Top 25,Arkansas,11,2.0
2010,6,regular,AP Top 25,Auburn,8,2.0
2010,6,regular,AP Top 25,Boise State,4,2.0
2010,6,regular,AP Top 25,Florida,14,2.0
2010,6,regular,AP Top 25,Florida State,23,2.0
2010,6,regular,AP Top 25,Iowa,15,2.0
2010,6,regular,AP Top 25,LSU,12,2.0
2010,6,regular,AP Top 25,Miami,13,2.0
2010,6,regular,AP Top 25,Michigan,18,2.0
2010,6,regular,AP Top 25,Michigan State,17,2.0
2010,6,regular,AP Top 25,Missouri,24,2.0
2010,6,regular,AP Top 25,Nebraska,7,2.0
2010,6,regular,AP Top 25,Nevada,21,2.0
2010,6,regular,AP Top 25,Ohio State,2,2.0
2010,6,regular,AP Top 25,Oklahoma,6,2.0
2010,6,regular,AP Top 25,Oklahoma State,22,2.0
2010,6,regular,AP Top 25,Oregon,3,2.0
2010,6,regular,AP Top 25,South Carolina,19,2.0
2010,6,regular,AP Top 25,Stanford,16,2.0
2010,6,regular,AP Top 25,TCU,5,2.0
2010,6,regular,AP Top 25,Utah,10,2.0
2010,6,regular,AP Top 25,Wisconsin,20,2.0
2010,7,regular,AP Top 25,Air Force,23,2.0
2010,7,regular,AP Top 25,Alabama,8,2.0
2010,7,regular,AP Top 25,Arizona,17,2.0
2010,7,regular,AP Top 25,Arkansas,12,2.0
2010,7,regular,AP Top 25,Auburn,7,2.0
2010,7,regular,AP Top 25,Boise State,3,2.0
2010,7,regular,AP Top 25,Florida,22,2.0
2010,7,regular,AP Top 25,Florida State,16,2.0
2010,7,regular,AP Top 25,Iowa,15,2.0
2010,7,regular,AP Top 25,LSU,9,2.0
2010,7,regular,AP Top 25,Michigan State,13,2.0
2010,7,regular,AP Top 25,Missouri,21,2.0
2010,7,regular,AP Top 25,Nebraska,5,2.0
2010,7,regular,AP Top 25,Nevada,19,2.0
2010,7,regular,AP Top 25,Ohio State,1,2.0
2010,7,regular,AP Top 25,Oklahoma,6,2.0
2010,7,regular,AP Top 25,Oklahoma State,20,2.0
2010,7,regular,AP Top 25,Oregon,2,2.0
2010,7,regular,AP Top 25,Oregon State,24,2.0
2010,7,regular,AP Top 25,South Carolina,10,2.0
2010,7,regular,AP Top 25,Stanford,14,2.0
2010,7,regular,AP Top 25,TCU,4,2.0
2010,7,regular,AP Top 25,Utah,11,2.0
2010,7,regular,AP Top 25,West Virginia,25,2.0
